,Predicted_Label,GT_Label
0,original,laser
1,original,laser
2,original,laser
3,original,laser
4,original,laser
5,original,laser
6,original,laser
7,original,laser
8,original,laser
9,original,laser
10,original,laser
11,original,laser
12,original,laser
13,original,laser
14,original,laser
15,original,laser
16,original,laser
17,original,laser
18,original,laser
19,original,laser
20,original,laser
21,original,laser
22,original,laser
23,original,laser
24,original,laser
25,original,original
26,original,original
27,original,original
28,original,original
29,original,original
30,original,original
31,original,original
32,original,original
33,original,original
34,original,original
35,original,original
36,original,original
37,original,original
38,original,original
39,original,original
40,original,original
41,original,original
42,original,original
43,original,original
44,original,original
45,original,original
46,original,original
47,original,original
48,original,original
49,original,original
